suite,name,child_evals,timeout,outcome,pv_len,fen,side_to_move,total_men,white_men,black_men,pawnless,preflight_eligible,material_config,white_pawns,black_pawns,max_white_pawn_rank,min_black_pawn_rank,white_king_file,white_king_rank,black_king_file,black_king_rank,king_chebyshev_dist,castling_rights,rule50,fullmove,has_queen_w,has_rook_w,has_bishop_w,has_knight_w,has_queen_b,has_rook_b,has_bishop_b,has_knight_b
move-order,m20_white,275777343,True,draw,0,4r2k/3p4/p1pB2p1/5p1p/7P/2N1PPP1/P1PP4/R5RK w - - 4 20,w,20,12,8,False,False,BNPPPPPPPRR vs PPPPPPR,7,6,4,5,h,1,h,8,7,-,4,20,False,True,True,True,False,True,False,False
move-order,m20_black,276188883,True,draw,0,4r2k/3p4/p1pB2p1/5p1p/7P/2N1PPP1/P1PP4/1R4RK b - - 5 20,b,20,12,8,False,False,BNPPPPPPPRR vs PPPPPPR,7,6,4,5,h,1,h,8,7,-,5,20,False,True,True,True,False,True,False,False
move-order,m21_white,249480478,False,win,477,4r2k/3p4/2pB2p1/p4p1p/7P/2N1PPP1/P1PP4/1R4RK w - - 0 21,w,20,12,8,False,False,BNPPPPPPPRR vs PPPPPPR,7,6,4,5,h,1,h,8,7,-,0,21,False,True,True,True,False,True,False,False
move-order,m21_black,522362085,True,draw,0,4r2k/3p4/2pB2p1/p4p1p/6PP/2N1PP2/P1PP4/1R4RK b - - 0 21,b,20,12,8,False,False,BNPPPPPPPRR vs PPPPPPR,7,6,4,5,h,1,h,8,7,-,0,21,False,True,True,True,False,True,False,False
move-order,m22_black,400469049,True,draw,0,4r2k/3p4/2pB2p1/p5Pp/5p1P/2N1PP2/P1PP4/1R4RK b - - 0 22,b,20,12,8,False,False,BNPPPPPPPRR vs PPPPPPR,7,6,5,4,h,1,h,8,7,-,0,22,False,True,True,True,False,True,False,False
decisive,dec01,5713706,False,win,27,r5r1/5N1k/2p2p2/pp1p3p/3Pp3/2P1P3/P7/2bQ1R1K w - - 0 30,w,19,8,11,False,False,NPPPPQR vs BPPPPPPPRR,4,7,4,4,h,1,h,7,6,-,0,30,True,True,False,True,False,True,True,False
decisive,dec10,4262128,False,win,41,3r3k/2rB3P/p7/P4p2/1p3Pp1/1P4P1/2p1p3/2R1R2K b - - 5 41,b,18,9,9,False,False,BPPPPPRR vs PPPPPPRR,5,6,7,2,h,1,h,8,7,-,5,41,False,True,True,False,False,True,False,False
decisive,dec13,3822602,False,win,17,r1bq1k1r/ppN4p/n1p1p3/3p1n1P/1b1P2P1/2P5/PP6/RNBQKB1R w KQ - 1 14,w,28,14,14,False,False,BBNNPPPPPPQRR vs BBNNPPPPPPQRR,6,6,5,5,e,1,f,8,7,KQ,1,14,True,True,True,True,True,True,True,True
decisive,dec14,2397489,False,win,21,r1bq1k1r/ppN5/n1p1p1pp/3p1p1P/3P4/P1PB4/1P3PP1/R1BQK2R w KQ - 0 15,w,28,14,14,False,False,BBNPPPPPPPQRR vs BNPPPPPPPPQRR,7,8,5,5,e,1,f,8,7,KQ,0,15,True,True,True,True,True,True,True,True
quick,dec01,5713706,False,win,27,r5r1/5N1k/2p2p2/pp1p3p/3Pp3/2P1P3/P7/2bQ1R1K w - - 0 30,w,19,8,11,False,False,NPPPPQR vs BPPPPPPPRR,4,7,4,4,h,1,h,7,6,-,0,30,True,True,False,True,False,True,True,False
