side,clamp,cut_primary,ratio_bucket,gap_bucket,exit_gap_bucket,depth_bucket,rank_bucket,keys,eval_mass,rescued_keys,rescued_mass,drawres_keys,drawres_mass,dead_keys,dead_mass,resbefore_keys,resbefore_mass
AND,0,0,0,0,5,0,0,278,1264639,21,36759,0,0,257,1227880,0,0
OR,0,0,0,0,5,0,0,112,470822,6,169158,0,0,106,301664,0,0
OR,1,0,0,5,5,0,0,1,7319,1,7319,0,0,0,0,0,0
AND,1,1,0,5,5,0,0,1,1415,0,0,0,0,1,1415,0,0
OR,1,0,4,5,5,0,0,1,1198,0,0,0,0,1,1198,0,0
AND,0,0,0,0,6,0,0,2,2164238,0,0,0,0,2,2164238,0,0
AND,1,1,0,4,1,1,0,1,511,0,0,0,0,1,511,0,0
AND,1,1,0,5,1,1,0,1,65,0,0,0,0,1,65,0,0
OR,1,1,4,5,1,1,0,1,626,0,0,0,0,1,626,0,0
AND,1,1,0,5,2,1,0,1,800,0,0,0,0,1,800,0,0
OR,1,1,0,4,4,1,0,1,577,0,0,0,0,1,577,0,0
AND,1,1,0,5,4,1,0,1,425,0,0,0,0,1,425,0,0
AND,0,0,0,0,5,1,0,7355,1264332,116,181704,0,0,7239,1082628,0,0
OR,0,0,0,0,5,1,0,835,460450,62,17287,0,0,772,443131,1,32
AND,1,0,0,0,5,1,0,26,625,0,0,0,0,26,625,0,0
OR,1,0,0,0,5,1,0,11,315,0,0,0,0,11,315,0,0
OR,1,1,0,2,5,1,0,1,1043,0,0,0,0,1,1043,0,0
OR,0,0,3,3,5,1,0,1,771,0,0,0,0,1,771,0,0
AND,1,0,0,5,5,1,0,1,3,1,3,0,0,0,0,0,0
OR,1,0,0,5,5,1,0,5,8312,0,0,0,0,5,8312,0,0
AND,1,1,0,5,5,1,0,7,5639,1,3,0,0,6,5636,0,0
OR,1,1,0,5,5,1,0,1,1561,0,0,0,0,1,1561,0,0
OR,0,0,1,5,5,1,0,1,28,0,0,0,0,1,28,0,0
OR,1,0,1,5,5,1,0,2,2929,0,0,0,0,2,2929,0,0
OR,1,0,4,5,5,1,0,8,7187,0,0,0,0,8,7187,0,0
OR,1,1,4,5,5,1,0,1,704,0,0,0,0,1,704,0,0
