side,clamp,cut_primary,ratio_bucket,gap_bucket,exit_gap_bucket,depth_bucket,rank_bucket,keys,eval_mass,rescued_keys,rescued_mass,drawres_keys,drawres_mass,dead_keys,dead_mass,resbefore_keys,resbefore_mass
OR,1,1,1,4,0,0,0,1,738,0,0,0,0,1,738,0,0
AND,1,1,0,5,1,0,0,1,982,0,0,0,0,1,982,0,0
OR,1,1,0,5,1,0,0,1,237,0,0,0,0,1,237,0,0
OR,1,1,1,5,1,0,0,1,1840,0,0,0,0,1,1840,0,0
OR,1,1,1,5,2,0,0,1,3513,0,0,0,0,1,3513,0,0
OR,1,1,1,5,3,0,0,11,20656,0,0,0,0,11,20656,0,0
AND,1,1,0,5,4,0,0,4,3491,0,0,0,0,4,3491,0,0
OR,1,1,0,5,4,0,0,1,395,0,0,0,0,1,395,0,0
OR,1,1,1,5,4,0,0,3,2901,0,0,0,0,3,2901,0,0
AND,0,0,0,0,5,0,0,10435,8106768,11,2240823,0,0,10424,5865945,0,0
OR,0,0,0,0,5,0,0,50,66142,0,0,0,0,50,66142,0,0
AND,1,0,0,0,5,0,0,3,105,0,0,0,0,3,105,0,0
AND,0,0,0,5,5,0,0,1,1084,0,0,0,0,1,1084,0,0
AND,1,1,0,5,5,0,0,101,29426,0,0,0,0,101,29426,0,0
OR,1,1,0,5,5,0,0,1,410,0,0,0,0,1,410,0,0
OR,1,0,1,5,5,0,0,1,641077,0,0,0,0,1,641077,0,0
AND,1,1,2,5,5,0,0,1,4,0,0,0,0,1,4,0,0
AND,1,0,5,5,5,0,0,44,19249,0,0,0,0,44,19249,0,0
AND,0,0,0,0,6,0,0,37,2443580,1,110170,0,0,36,2333410,0,0
OR,1,1,0,2,0,1,0,1,710,0,0,0,0,1,710,0,0
OR,1,1,1,4,0,1,0,5,2928,0,0,0,0,5,2928,0,0
OR,1,1,2,4,0,1,0,1,251,0,0,0,0,1,251,0,0
AND,1,1,0,5,0,1,0,1,240,0,0,0,0,1,240,0,0
OR,1,1,0,5,0,1,0,6,6033,0,0,0,0,6,6033,0,0
OR,1,1,0,2,1,1,0,2,1082,0,0,0,0,2,1082,0,0
OR,1,1,0,3,1,1,0,1,971,0,0,0,0,1,971,0,0
AND,1,1,0,4,1,1,0,1,228,0,0,0,0,1,228,0,0
OR,1,1,0,4,1,1,0,3,2788,0,0,0,0,3,2788,0,0
AND,1,1,0,5,1,1,0,4,1344,0,0,0,0,4,1344,0,0
OR,1,1,1,5,1,1,0,5,5361,0,0,0,0,5,5361,0,0
