side,clamp,cut_primary,ratio_bucket,gap_bucket,exit_gap_bucket,depth_bucket,rank_bucket,keys,eval_mass,rescued_keys,rescued_mass,drawres_keys,drawres_mass,dead_keys,dead_mass,resbefore_keys,resbefore_mass
OR,1,1,1,4,0,0,0,1,209042,0,0,0,0,1,209042,0,0
AND,1,1,0,5,0,0,0,1,2337,0,0,0,0,1,2337,0,0
OR,1,1,0,5,0,0,0,1,8117,0,0,0,0,1,8117,0,0
AND,1,1,1,5,1,0,0,1,4359,0,0,0,0,1,4359,0,0
OR,1,1,1,5,1,0,0,1,225073,0,0,0,0,1,225073,0,0
AND,1,1,0,5,2,0,0,1,6356,0,0,0,0,1,6356,0,0
AND,1,1,1,5,2,0,0,3,20295,0,0,0,0,3,20295,0,0
OR,1,1,1,5,2,0,0,1,61498,0,0,0,0,1,61498,0,0
OR,1,1,0,5,3,0,0,1,71511,0,0,0,0,1,71511,0,0
AND,1,1,1,5,3,0,0,1,7043,0,0,0,0,1,7043,0,0
OR,1,1,1,5,3,0,0,8,1423184,0,0,0,0,8,1423184,0,0
AND,1,1,0,5,4,0,0,5,3207,0,0,0,0,5,3207,0,0
OR,1,1,0,5,4,0,0,3,295276,0,0,0,0,3,295276,0,0
AND,1,1,1,5,4,0,0,1,1108,0,0,0,0,1,1108,0,0
AND,0,0,0,0,5,0,0,2356,45909045,23,630503,0,0,2333,45278542,0,0
OR,0,0,0,0,5,0,0,46,2264563,5,27367,0,0,41,2237196,0,0
AND,1,0,0,0,5,0,0,7,15982,0,0,0,0,7,15982,0,0
AND,0,0,0,5,5,0,0,7,7690,0,0,0,0,7,7690,0,0
AND,1,0,0,5,5,0,0,6,11811,0,0,0,0,6,11811,0,0
AND,1,1,0,5,5,0,0,88,477200,1,51,0,0,87,477149,0,0
AND,1,1,2,5,5,0,0,2,88903,0,0,0,0,2,88903,0,0
AND,1,0,3,5,5,0,0,1,14,0,0,0,0,1,14,0,0
AND,0,0,5,5,5,0,0,1,24,0,0,0,0,1,24,0,0
AND,1,0,5,5,5,0,0,46,158717,1,29829,0,0,45,128888,0,0
AND,0,0,0,0,6,0,0,3,14093900,0,0,0,0,3,14093900,0,0
OR,1,1,0,1,0,1,0,3,1802,0,0,0,0,3,1802,0,0
OR,1,1,0,2,0,1,0,3,728,0,0,0,0,3,728,0,0
OR,1,1,1,2,0,1,0,10,7570,1,2883,0,0,9,4687,0,0
OR,1,1,0,3,0,1,0,7,4495,0,0,0,0,7,4495,0,0
AND,1,1,0,4,0,1,0,1,1025,0,0,0,0,1,1025,0,0
OR,1,1,0,4,0,1,0,45,38582,0,0,0,0,45,38582,0,0
OR,1,1,1,4,0,1,0,27,24495,0,0,0,0,27,24495,0,0
OR,1,1,3,4,0,1,0,1,328,0,0,0,0,1,328,0,0
AND,1,1,0,5,0,1,0,14,3154,0,0,0,0,14,3154,0,0
OR,1,1,0,5,0,1,0,5,3915,0,0,0,0,5,3915,0,0
AND,1,1,1,5,0,1,0,2,1379,0,0,0,0,2,1379,0,0
OR,1,1,1,5,0,1,0,19,14094,0,0,0,0,19,14094,0,0
AND,1,1,2,5,0,1,0,6,2281,0,0,0,0,6,2281,0,0
OR,1,1,2,5,0,1,0,16,84500,0,0,0,0,16,84500,0,0
OR,1,1,4,5,0,1,0,5,3610,0,0,0,0,5,3610,0,0
OR,1,1,0,2,1,1,0,11,8719,0,0,0,0,11,8719,0,0
OR,1,1,0,3,1,1,0,27,10442,1,1587,0,0,26,8855,0,0
OR,1,1,0,4,1,1,0,81,51472,0,0,0,0,81,51472,0,0
OR,1,1,1,4,1,1,0,11,6249,0,0,0,0,11,6249,0,0
AND,1,1,0,5,1,1,0,24,8493,1,1024,0,0,23,7469,0,0
OR,1,1,0,5,1,1,0,9,7192,0,0,0,0,9,7192,0,0
AND,1,1,1,5,1,1,0,2,10,0,0,0,0,2,10,0,0
OR,1,1,1,5,1,1,0,39,51123,0,0,0,0,39,51123,0,0
AND,1,1,2,5,1,1,0,3,9604,0,0,0,0,3,9604,0,0
OR,1,1,2,5,1,1,0,9,12612,0,0,0,0,9,12612,0,0
OR,1,1,3,5,1,1,0,2,3701,0,0,0,0,2,3701,0,0
OR,1,1,4,5,1,1,0,1,580,0,0,0,0,1,580,0,0
OR,1,1,0,1,2,1,0,2,581,0,0,0,0,2,581,0,0
OR,1,1,0,2,2,1,0,35,10566,0,0,0,0,35,10566,0,0
OR,1,1,0,3,2,1,0,23,8876,0,0,0,0,23,8876,0,0
AND,1,1,0,4,2,1,0,3,1086,0,0,0,0,3,1086,0,0
OR,1,1,0,4,2,1,0,145,130564,0,0,0,0,145,130564,0,0
OR,1,1,1,4,2,1,0,17,12356,0,0,0,0,17,12356,0,0
AND,1,1,0,5,2,1,0,18,7671,1,725,0,0,17,6946,0,0
OR,1,1,0,5,2,1,0,29,19789,0,0,0,0,29,19789,0,0
AND,1,1,1,5,2,1,0,6,8469,0,0,0,0,6,8469,0,0
OR,1,1,1,5,2,1,0,70,84081,0,0,0,0,70,84081,0,0
AND,1,1,2,5,2,1,0,2,4,0,0,0,0,2,4,0,0
OR,1,1,2,5,2,1,0,11,8855,0,0,0,0,11,8855,0,0
OR,1,1,3,5,2,1,0,1,626,0,0,0,0,1,626,0,0
OR,1,1,0,2,3,1,0,11,3058,0,0,0,0,11,3058,0,0
OR,1,1,0,3,3,1,0,10,3201,0,0,0,0,10,3201,0,0
AND,1,1,0,4,3,1,0,2,618,0,0,0,0,2,618,0,0
OR,1,1,0,4,3,1,0,187,108509,0,0,0,0,187,108509,0,0
OR,1,1,1,4,3,1,0,14,12773,0,0,0,0,14,12773,0,0
AND,1,1,0,5,3,1,0,29,9418,0,0,0,0,29,9418,0,0
OR,1,1,0,5,3,1,0,24,17261,0,0,0,0,24,17261,0,0
AND,1,1,1,5,3,1,0,5,3048,0,0,0,0,5,3048,0,0
OR,1,1,1,5,3,1,0,84,93040,0,0,0,0,84,93040,0,0
OR,1,1,2,5,3,1,0,11,11665,0,0,0,0,11,11665,0,0
OR,1,1,3,5,3,1,0,1,1208,0,0,0,0,1,1208,0,0
OR,1,1,0,2,4,1,0,8,2031,0,0,0,0,8,2031,0,0
OR,1,1,0,3,4,1,0,12,4919,0,0,0,0,12,4919,0,0
AND,1,1,0,4,4,1,0,56,19055,0,0,0,0,56,19055,0,0
OR,1,1,0,4,4,1,0,684,587533,0,0,0,0,684,587533,0,0
OR,1,1,1,4,4,1,0,13,71757,0,0,0,0,13,71757,0,0
AND,1,1,0,5,4,1,0,129,83414,2,1323,0,0,127,82091,0,0
OR,1,1,0,5,4,1,0,107,106989,0,0,0,0,107,106989,0,0
AND,1,1,1,5,4,1,0,28,5634,0,0,0,0,28,5634,0,0
OR,1,1,1,5,4,1,0,107,156084,0,0,0,0,107,156084,0,0
AND,1,1,2,5,4,1,0,23,5055,0,0,0,0,23,5055,0,0
OR,1,1,2,5,4,1,0,16,81465,0,0,0,0,16,81465,0,0
AND,1,1,3,5,4,1,0,2,4,0,0,0,0,2,4,0,0
AND,0,0,0,0,5,1,0,438353,55641800,1302,4366382,0,0,437051,51275418,0,0
OR,0,0,0,0,5,1,0,30289,11417793,131,633875,0,0,30158,10783918,0,0
AND,1,0,0,0,5,1,0,8346,507289,14,473,0,0,8332,506816,0,0
OR,1,0,0,0,5,1,0,2264,415026,20,49759,0,0,2243,365229,1,38
OR,1,1,0,0,5,1,0,1,446,0,0,0,0,1,446,0,0
OR,0,0,0,1,5,1,0,13,10308,0,0,0,0,13,10308,0,0
OR,1,0,0,1,5,1,0,9,5281,0,0,0,0,9,5281,0,0
OR,1,1,0,1,5,1,0,1,609,0,0,0,0,1,609,0,0
OR,0,0,3,1,5,1,0,7,3622,1,41,0,0,6,3581,0,0
OR,1,0,3,1,5,1,0,1,56,0,0,0,0,1,56,0,0
AND,0,0,0,2,5,1,0,1,7,0,0,0,0,1,7,0,0
OR,0,0,0,2,5,1,0,4,1778,0,0,0,0,4,1778,0,0
OR,1,0,0,2,5,1,0,3,7310,1,6048,0,0,2,1262,0,0
OR,1,1,0,2,5,1,0,1,3006,0,0,0,0,1,3006,0,0
OR,0,0,1,2,5,1,0,15,14246,0,0,0,0,15,14246,0,0
OR,1,0,1,2,5,1,0,12,5185,0,0,0,0,12,5185,0,0
OR,1,1,1,2,5,1,0,5,2093,0,0,0,0,5,2093,0,0
OR,1,0,2,2,5,1,0,1,644,0,0,0,0,1,644,0,0
OR,1,1,2,2,5,1,0,1,505,0,0,0,0,1,505,0,0
AND,0,0,0,3,5,1,0,1,194,0,0,0,0,1,194,0,0
OR,0,0,0,3,5,1,0,1,560,0,0,0,0,1,560,0,0
OR,1,0,0,3,5,1,0,5,2346,0,0,0,0,5,2346,0,0
OR,1,1,0,3,5,1,0,3,792,0,0,0,0,3,792,0,0
OR,1,0,2,3,5,1,0,3,1244,0,0,0,0,3,1244,0,0
OR,0,0,3,3,5,1,0,4,3202,0,0,0,0,4,3202,0,0
OR,1,0,3,3,5,1,0,4,1516,0,0,0,0,4,1516,0,0
OR,1,1,3,3,5,1,0,1,264,0,0,0,0,1,264,0,0
OR,0,0,4,3,5,1,0,8,4291,0,0,0,0,8,4291,0,0
OR,1,0,4,3,5,1,0,1,572,0,0,0,0,1,572,0,0
AND,0,0,0,4,5,1,0,4,1375,0,0,0,0,4,1375,0,0
OR,0,0,0,4,5,1,0,9,11446,0,0,0,0,9,11446,0,0
AND,1,0,0,4,5,1,0,10,3733,0,0,0,0,10,3733,0,0
OR,1,0,0,4,5,1,0,42,43958,0,0,0,0,42,43958,0,0
AND,1,1,0,4,5,1,0,45,11947,0,0,0,0,45,11947,0,0
OR,1,1,0,4,5,1,0,367,267171,0,0,0,0,367,267171,0,0
OR,0,0,1,4,5,1,0,2,1723,0,0,0,0,2,1723,0,0
OR,1,0,1,4,5,1,0,50,55979,0,0,0,0,50,55979,0,0
OR,1,1,1,4,5,1,0,37,27498,0,0,0,0,37,27498,0,0
OR,1,0,2,4,5,1,0,5,3674,0,0,0,0,5,3674,0,0
OR,0,0,3,4,5,1,0,5,2081,0,0,0,0,5,2081,0,0
OR,1,0,3,4,5,1,0,35,21900,0,0,0,0,35,21900,0,0
OR,1,1,3,4,5,1,0,7,2173,0,0,0,0,7,2173,0,0
OR,0,0,4,4,5,1,0,3,1635,0,0,0,0,3,1635,0,0
OR,1,0,4,4,5,1,0,31,13395,0,0,0,0,31,13395,0,0
OR,1,1,4,4,5,1,0,3,862,0,0,0,0,3,862,0,0
AND,0,0,0,5,5,1,0,94,88256,0,0,0,0,94,88256,0,0
AND,1,0,0,5,5,1,0,128,157571,4,3582,0,0,124,153989,0,0
OR,1,0,0,5,5,1,0,7,8210,0,0,0,0,7,8210,0,0
AND,1,1,0,5,5,1,0,2977,797932,2,431,0,0,2975,797501,0,0
OR,1,1,0,5,5,1,0,69,47917,0,0,0,0,69,47917,0,0
AND,0,0,1,5,5,1,0,2,1665,0,0,0,0,2,1665,0,0
OR,0,0,1,5,5,1,0,2,1293,0,0,0,0,2,1293,0,0
AND,1,0,1,5,5,1,0,16,18481,0,0,0,0,16,18481,0,0
OR,1,0,1,5,5,1,0,26,23515,0,0,0,0,26,23515,0,0
AND,1,1,1,5,5,1,0,84,82662,0,0,0,0,84,82662,0,0
OR,1,1,1,5,5,1,0,31,110396,0,0,0,0,31,110396,0,0
AND,0,0,2,5,5,1,0,1,7,0,0,0,0,1,7,0,0
OR,0,0,2,5,5,1,0,3,2066,0,0,0,0,3,2066,0,0
AND,1,0,2,5,5,1,0,26,11441,0,0,0,0,26,11441,0,0
OR,1,0,2,5,5,1,0,57,64113,0,0,0,0,57,64113,0,0
AND,1,1,2,5,5,1,0,102,6051,0,0,0,0,102,6051,0,0
OR,1,1,2,5,5,1,0,19,16070,0,0,0,0,19,16070,0,0
OR,0,0,3,5,5,1,0,2,63691,0,0,0,0,2,63691,0,0
AND,1,0,3,5,5,1,0,8,3577,0,0,0,0,8,3577,0,0
OR,1,0,3,5,5,1,0,23,28021,0,0,0,0,23,28021,0,0
AND,1,1,3,5,5,1,0,29,11199,0,0,0,0,29,11199,0,0
OR,1,1,3,5,5,1,0,5,3279,0,0,0,0,5,3279,0,0
OR,0,0,4,5,5,1,0,4,3125,0,0,0,0,4,3125,0,0
AND,1,0,4,5,5,1,0,2,704,0,0,0,0,2,704,0,0
OR,1,0,4,5,5,1,0,199,178901,1,1847,0,0,198,177054,0,0
AND,1,1,4,5,5,1,0,3,631,0,0,0,0,3,631,0,0
OR,1,1,4,5,5,1,0,11,7341,0,0,0,0,11,7341,0,0
AND,0,0,5,5,5,1,0,56,55692,0,0,0,0,56,55692,0,0
OR,0,0,5,5,5,1,0,1,552,0,0,0,0,1,552,0,0
AND,1,0,5,5,5,1,0,2855,771612,30,17994,0,0,2825,753618,0,0
OR,1,0,5,5,5,1,0,55,41812,0,0,0,0,55,41812,0,0
OR,1,1,0,1,0,2,0,30,10172,0,0,0,0,30,10172,0,0
OR,1,1,0,2,0,2,0,43,13083,0,0,0,0,43,13083,0,0
OR,1,1,1,2,0,2,0,18,9452,1,915,0,0,17,8537,0,0
OR,1,1,0,3,0,2,0,74,22291,0,0,0,0,74,22291,0,0
OR,1,1,2,3,0,2,0,4,1297,0,0,0,0,4,1297,0,0
AND,1,1,0,4,0,2,0,8,1236,0,0,0,0,8,1236,0,0
OR,1,1,0,4,0,2,0,61,409706,1,364212,0,0,60,45494,0,0
OR,1,1,1,4,0,2,0,41,21145,0,0,0,0,41,21145,0,0
OR,1,1,2,4,0,2,0,6,2320,0,0,0,0,6,2320,0,0
OR,1,1,3,4,0,2,0,7,3112,0,0,0,0,7,3112,0,0
AND,1,1,0,5,0,2,0,28,5466,0,0,0,0,28,5466,0,0
OR,1,1,0,5,0,2,0,1,3108,0,0,0,0,1,3108,0,0
OR,1,1,1,5,0,2,0,15,10437,0,0,0,0,15,10437,0,0
AND,1,1,2,5,0,2,0,1,4,0,0,0,0,1,4,0,0
OR,1,1,2,5,0,2,0,16,9912,0,0,0,0,16,9912,0,0
OR,1,1,3,5,0,2,0,10,8775,0,0,0,0,10,8775,0,0
OR,1,1,4,5,0,2,0,5,3032,0,0,0,0,5,3032,0,0
OR,1,1,0,1,1,2,0,25,7336,0,0,0,0,25,7336,0,0
OR,1,1,0,2,1,2,0,61,17438,0,0,0,0,61,17438,0,0
OR,1,1,1,2,1,2,0,7,1842,0,0,0,0,7,1842,0,0
OR,1,1,0,3,1,2,0,132,47858,0,0,0,0,132,47858,0,0
AND,1,1,0,4,1,2,0,2,278,0,0,0,0,2,278,0,0
OR,1,1,0,4,1,2,0,77,69634,0,0,0,0,77,69634,0,0
OR,1,1,1,4,1,2,0,43,25638,0,0,0,0,43,25638,0,0
OR,1,1,2,4,1,2,0,3,1277,0,0,0,0,3,1277,0,0
OR,1,1,3,4,1,2,0,1,297,0,0,0,0,1,297,0,0
AND,1,1,0,5,1,2,0,40,8399,0,0,0,0,40,8399,0,0
OR,1,1,0,5,1,2,0,1,439,0,0,0,0,1,439,0,0
AND,1,1,1,5,1,2,0,1,206,0,0,0,0,1,206,0,0
OR,1,1,1,5,1,2,0,31,18363,0,0,0,0,31,18363,0,0
AND,1,1,2,5,1,2,0,4,16,0,0,0,0,4,16,0,0
OR,1,1,2,5,1,2,0,11,8511,0,0,0,0,11,8511,0,0
OR,1,1,3,5,1,2,0,12,8676,0,0,0,0,12,8676,0,0
OR,1,1,4,5,1,2,0,3,1151,0,0,0,0,3,1151,0,0
OR,1,1,0,1,2,2,0,15,2725,0,0,0,0,15,2725,0,0
OR,1,1,0,2,2,2,0,70,19642,0,0,0,0,70,19642,0,0
OR,1,1,0,3,2,2,0,124,34156,0,0,0,0,124,34156,0,0
AND,1,1,0,4,2,2,0,2,225,0,0,0,0,2,225,0,0
OR,1,1,0,4,2,2,0,127,62046,0,0,0,0,127,62046,0,0
OR,1,1,1,4,2,2,0,27,15168,0,0,0,0,27,15168,0,0
OR,1,1,2,4,2,2,0,3,1767,0,0,0,0,3,1767,0,0
AND,1,1,0,5,2,2,0,22,5238,0,0,0,0,22,5238,0,0
OR,1,1,0,5,2,2,0,1,524,0,0,0,0,1,524,0,0
AND,1,1,1,5,2,2,0,2,1137,0,0,0,0,2,1137,0,0
OR,1,1,1,5,2,2,0,54,37986,0,0,0,0,54,37986,0,0
AND,1,1,2,5,2,2,0,3,1293,0,0,0,0,3,1293,0,0
OR,1,1,2,5,2,2,0,19,21057,0,0,0,0,19,21057,0,0
OR,1,1,3,5,2,2,0,2,1054,0,0,0,0,2,1054,0,0
OR,1,1,0,2,3,2,0,44,11330,0,0,0,0,44,11330,0,0
OR,1,1,0,3,3,2,0,64,19727,0,0,0,0,64,19727,0,0
AND,1,1,0,4,3,2,0,5,706,0,0,0,0,5,706,0,0
OR,1,1,0,4,3,2,0,140,72514,0,0,0,0,140,72514,0,0
OR,1,1,1,4,3,2,0,19,9480,0,0,0,0,19,9480,0,0
AND,1,1,0,5,3,2,0,17,4386,0,0,0,0,17,4386,0,0
OR,1,1,0,5,3,2,0,4,1998,0,0,0,0,4,1998,0,0
AND,1,1,1,5,3,2,0,5,2432,0,0,0,0,5,2432,0,0
OR,1,1,1,5,3,2,0,40,31211,0,0,0,0,40,31211,0,0
OR,1,1,2,5,3,2,0,7,4582,0,0,0,0,7,4582,0,0
OR,1,1,3,5,3,2,0,3,1825,0,0,0,0,3,1825,0,0
OR,1,1,0,2,4,2,0,52,31067,0,0,0,0,52,31067,0,0
OR,1,1,0,3,4,2,0,104,30261,0,0,0,0,104,30261,0,0
AND,1,1,0,4,4,2,0,41,6460,0,0,0,0,41,6460,0,0
OR,1,1,0,4,4,2,0,504,286273,0,0,0,0,504,286273,0,0
OR,1,1,1,4,4,2,0,19,14018,0,0,0,0,19,14018,0,0
AND,1,1,0,5,4,2,0,93,25537,0,0,0,0,93,25537,0,0
OR,1,1,0,5,4,2,0,31,27471,0,0,0,0,31,27471,0,0
AND,1,1,1,5,4,2,0,31,14812,0,0,0,0,31,14812,0,0
OR,1,1,1,5,4,2,0,48,34702,0,0,0,0,48,34702,0,0
AND,1,1,2,5,4,2,0,6,475,0,0,0,0,6,475,0,0
OR,1,1,2,5,4,2,0,20,13589,0,0,0,0,20,13589,0,0
OR,1,1,3,5,4,2,0,2,834,0,0,0,0,2,834,0,0
AND,0,0,0,0,5,2,0,247515,18327483,1645,3234731,5,4290,245861,15088447,4,15
OR,0,0,0,0,5,2,0,39402,5658924,199,162543,0,0,39200,5496207,3,174
AND,1,0,0,0,5,2,0,7221,393860,46,127883,0,0,7175,265977,0,0
OR,1,0,0,0,5,2,0,7232,829747,97,50631,0,0,7133,779047,2,69
OR,1,1,0,0,5,2,0,9,4493,3,1405,0,0,6,3088,0,0
OR,0,0,0,1,5,2,0,19,10579,0,0,0,0,19,10579,0,0
OR,1,0,0,1,5,2,0,28,13611,1,1693,0,0,27,11918,0,0
OR,1,1,0,1,5,2,0,40,10852,0,0,0,0,40,10852,0,0
OR,0,0,3,1,5,2,0,7,990,1,43,0,0,6,947,0,0
OR,1,0,3,1,5,2,0,3,1630,0,0,0,0,3,1630,0,0
OR,0,0,0,2,5,2,0,4,1946,0,0,0,0,4,1946,0,0
OR,1,0,0,2,5,2,0,14,7087,0,0,0,0,14,7087,0,0
OR,1,1,0,2,5,2,0,20,5011,0,0,0,0,20,5011,0,0
OR,0,0,1,2,5,2,0,7,9534,0,0,0,0,7,9534,0,0
OR,1,0,1,2,5,2,0,7,2933,0,0,0,0,7,2933,0,0
OR,1,1,1,2,5,2,0,22,6151,0,0,0,0,22,6151,0,0
OR,0,0,2,2,5,2,0,4,3320,1,1833,0,0,3,1487,0,0
OR,1,0,2,2,5,2,0,10,11723,0,0,0,0,10,11723,0,0
OR,1,1,2,2,5,2,0,5,4989,1,591,0,0,4,4398,0,0
OR,0,0,0,3,5,2,0,4,1602,0,0,0,0,4,1602,0,0
OR,1,0,0,3,5,2,0,25,12580,1,2013,0,0,24,10567,0,0
OR,1,1,0,3,5,2,0,31,11255,0,0,0,0,31,11255,0,0
OR,0,0,2,3,5,2,0,5,2374,0,0,0,0,5,2374,0,0
OR,1,0,2,3,5,2,0,11,4647,0,0,0,0,11,4647,0,0
OR,1,1,2,3,5,2,0,2,724,0,0,0,0,2,724,0,0
OR,0,0,3,3,5,2,0,5,5106,1,3033,0,0,4,2073,0,0
OR,1,0,3,3,5,2,0,46,17702,0,0,0,0,46,17702,0,0
OR,1,1,3,3,5,2,0,3,532,0,0,0,0,3,532,0,0
OR,0,0,4,3,5,2,0,6,3744,0,0,0,0,6,3744,0,0
OR,1,0,4,3,5,2,0,13,4851,0,0,0,0,13,4851,0,0
AND,0,0,0,4,5,2,0,1,318,0,0,0,0,1,318,0,0
OR,0,0,0,4,5,2,0,6,3618,0,0,0,0,6,3618,0,0
AND,1,0,0,4,5,2,0,24,6071,0,0,0,0,24,6071,0,0
OR,1,0,0,4,5,2,0,27,21370,0,0,0,0,27,21370,0,0
AND,1,1,0,4,5,2,0,80,12782,0,0,0,0,80,12782,0,0
OR,1,1,0,4,5,2,0,300,222765,0,0,0,0,300,222765,0,0
OR,0,0,1,4,5,2,0,2,1976,0,0,0,0,2,1976,0,0
