outcome: win length: 9
SPIKE kind=all_w men=22 count=1
SPIKE kind=all_w men=23 count=11
SPIKE kind=all_w men=24 count=49
SPIKE kind=all_w men=25 count=219
SPIKE kind=all_w men=26 count=228
SPIKE kind=all_w men=27 count=134
SPIKE kind=all_w men=28 count=82
SPIKE kind=all_w men=29 count=4
SPIKE kind=all_w men=30 count=197
SPIKE kind=all_w men=32 count=388
SPIKE kind=all_b men=22 count=1
SPIKE kind=all_b men=23 count=7
SPIKE kind=all_b men=24 count=17
SPIKE kind=all_b men=25 count=125
SPIKE kind=all_b men=26 count=71
SPIKE kind=all_b men=27 count=203
SPIKE kind=all_b men=28 count=176
SPIKE kind=all_b men=29 count=49
SPIKE kind=all_b men=30 count=503
SPIKE kind=all_b men=32 count=311
SPIKE kind=nt_w men=24 count=2
SPIKE kind=nt_w men=25 count=28
SPIKE kind=nt_w men=26 count=138
SPIKE kind=nt_w men=27 count=52
SPIKE kind=nt_w men=28 count=2259
SPIKE kind=nt_w men=29 count=429
SPIKE kind=nt_w men=30 count=26253
SPIKE kind=nt_w men=32 count=19093
SPIKE kind=nt_b men=24 count=19
SPIKE kind=nt_b men=25 count=65
SPIKE kind=nt_b men=26 count=223
SPIKE kind=nt_b men=27 count=78
SPIKE kind=nt_b men=28 count=4682
SPIKE kind=nt_b men=29 count=1749
SPIKE kind=nt_b men=30 count=25698
SPIKE kind=nt_b men=32 count=25226
SPIKE_EXIT men=32
