[bounded_search] chunk done: work_done=500016 next_chunk=1000000 elapsed=0.089s max_depth=9 nodes=17451 nps=196536
[bounded_search] chunk done: work_done=1000009 next_chunk=2000000 elapsed=0.270s max_depth=11 nodes=53155 nps=196790
[bounded_search] chunk done: work_done=2000008 next_chunk=4000000 elapsed=0.640s max_depth=17 nodes=132958 nps=207707
[bounded_search] chunk done: work_done=4000015 next_chunk=8000000 elapsed=1.431s max_depth=20 nodes=305224 nps=213305
[bounded_search] chunk done: work_done=8000010 next_chunk=16000000 elapsed=3.034s max_depth=21 nodes=644080 nps=212290
[bounded_search] chunk done: work_done=16000007 next_chunk=32000000 elapsed=6.330s max_depth=25 nodes=1313997 nps=207574
[bounded_search] chunk done: work_done=32000001 next_chunk=64000000 elapsed=12.775s max_depth=26 nodes=2590765 nps=202796
[bounded_search] chunk done: work_done=64000009 next_chunk=128000000 elapsed=25.125s max_depth=33 nodes=5427759 nps=216026
[bounded_search] chunk done: work_done=128000001 next_chunk=256000000 elapsed=49.405s max_depth=53 nodes=11254906 nps=227808
[bounded_search] chunk done: work_done=256000012 next_chunk=512000000 elapsed=98.027s max_depth=53 nodes=22922979 nps=233843
outcome: win length: 29
SPIKE kind=all_w men=5 count=1
SPIKE kind=all_w men=6 count=4
SPIKE kind=all_w men=7 count=35
SPIKE kind=all_w men=8 count=147
SPIKE kind=all_w men=9 count=399
SPIKE kind=all_w men=10 count=1379
SPIKE kind=all_w men=11 count=4091
SPIKE kind=all_w men=12 count=9596
SPIKE kind=all_w men=13 count=24866
SPIKE kind=all_w men=14 count=58057
SPIKE kind=all_w men=15 count=121199
SPIKE kind=all_w men=16 count=307943
SPIKE kind=all_w men=17 count=514348
SPIKE kind=all_w men=18 count=945455
SPIKE kind=all_w men=19 count=1815687
SPIKE kind=all_w men=20 count=264318
SPIKE kind=all_w men=21 count=3048988
SPIKE kind=all_w men=22 count=150164
SPIKE kind=all_w men=23 count=417143
SPIKE kind=all_w men=25 count=289624
SPIKE kind=all_b men=5 count=2
SPIKE kind=all_b men=6 count=11
SPIKE kind=all_b men=7 count=83
SPIKE kind=all_b men=8 count=337
SPIKE kind=all_b men=9 count=1327
SPIKE kind=all_b men=10 count=4201
SPIKE kind=all_b men=11 count=12810
SPIKE kind=all_b men=12 count=31232
SPIKE kind=all_b men=13 count=60620
SPIKE kind=all_b men=14 count=111975
SPIKE kind=all_b men=15 count=157518
SPIKE kind=all_b men=16 count=194552
SPIKE kind=all_b men=17 count=324922
SPIKE kind=all_b men=18 count=407874
SPIKE kind=all_b men=19 count=525357
SPIKE kind=all_b men=20 count=153005
SPIKE kind=all_b men=21 count=1048992
SPIKE kind=all_b men=22 count=43303
SPIKE kind=all_b men=23 count=168930
SPIKE kind=all_b men=25 count=84843
SPIKE kind=nt_w men=5 count=1
SPIKE kind=nt_w men=6 count=7
SPIKE kind=nt_w men=7 count=558
SPIKE kind=nt_w men=8 count=1640
SPIKE kind=nt_w men=9 count=13908
SPIKE kind=nt_w men=10 count=56502
SPIKE kind=nt_w men=11 count=249930
SPIKE kind=nt_w men=12 count=751717
SPIKE kind=nt_w men=13 count=2345761
SPIKE kind=nt_w men=14 count=4900270
SPIKE kind=nt_w men=15 count=9472206
SPIKE kind=nt_w men=16 count=18637728
SPIKE kind=nt_w men=17 count=25976672
SPIKE kind=nt_w men=18 count=35761096
SPIKE kind=nt_w men=19 count=53693621
SPIKE kind=nt_w men=20 count=12384277
SPIKE kind=nt_w men=21 count=87265704
SPIKE kind=nt_w men=22 count=6485020
SPIKE kind=nt_w men=23 count=23809839
SPIKE kind=nt_w men=25 count=12927406
SPIKE kind=nt_b men=5 count=5
SPIKE kind=nt_b men=6 count=31
SPIKE kind=nt_b men=7 count=349
SPIKE kind=nt_b men=8 count=1633
SPIKE kind=nt_b men=9 count=12260
SPIKE kind=nt_b men=10 count=44757
SPIKE kind=nt_b men=11 count=186644
SPIKE kind=nt_b men=12 count=586811
SPIKE kind=nt_b men=13 count=1744760
SPIKE kind=nt_b men=14 count=3817747
SPIKE kind=nt_b men=15 count=7197434
SPIKE kind=nt_b men=16 count=13968139
SPIKE kind=nt_b men=17 count=20833105
SPIKE kind=nt_b men=18 count=26967514
SPIKE kind=nt_b men=19 count=39160900
SPIKE kind=nt_b men=20 count=10065870
SPIKE kind=nt_b men=21 count=58005830
SPIKE kind=nt_b men=22 count=4749120
SPIKE kind=nt_b men=23 count=15042193
SPIKE kind=nt_b men=25 count=9779706
SPIKE_EXIT men=25
