outcome: win length: 7
SPIKE kind=all_w men=17 count=7
SPIKE kind=all_w men=18 count=5
SPIKE kind=all_w men=19 count=8
SPIKE kind=all_w men=20 count=3
SPIKE kind=all_w men=21 count=71
SPIKE kind=all_w men=22 count=29
SPIKE kind=all_w men=23 count=12
SPIKE kind=all_w men=25 count=68
SPIKE kind=all_b men=17 count=2
SPIKE kind=all_b men=18 count=10
SPIKE kind=all_b men=19 count=10
SPIKE kind=all_b men=20 count=20
SPIKE kind=all_b men=21 count=18
SPIKE kind=all_b men=22 count=20
SPIKE kind=all_b men=23 count=9
SPIKE kind=all_b men=25 count=111
SPIKE kind=nt_w men=17 count=5
SPIKE kind=nt_w men=18 count=19
SPIKE kind=nt_w men=19 count=109
SPIKE kind=nt_w men=20 count=596
SPIKE kind=nt_w men=21 count=1744
SPIKE kind=nt_w men=22 count=3787
SPIKE kind=nt_w men=23 count=1835
SPIKE kind=nt_w men=25 count=4240
SPIKE kind=nt_b men=17 count=1
SPIKE kind=nt_b men=18 count=7
SPIKE kind=nt_b men=19 count=49
SPIKE kind=nt_b men=20 count=165
SPIKE kind=nt_b men=21 count=210
SPIKE kind=nt_b men=22 count=1216
SPIKE kind=nt_b men=23 count=932
SPIKE kind=nt_b men=25 count=5671
SPIKE_EXIT men=25
