ply 1: 20 first moves
p1_a2a3: draw nodes=1744896 censored=True wall=9.36
p2_a2a3_a7a6: draw nodes=1761280 censored=True wall=9.321
p2_a2a3_a7a5: draw nodes=1716224 censored=True wall=9.305
p2_a2a3_b7b6: draw nodes=1622016 censored=True wall=9.261
p2_a2a3_b7b5: draw nodes=1699840 censored=True wall=9.274
p2_a2a3_c7c6: draw nodes=1765376 censored=True wall=9.28
p2_a2a3_c7c5: draw nodes=1683456 censored=True wall=9.241
p2_a2a3_d7d6: draw nodes=1683456 censored=True wall=9.268
p2_a2a3_d7d5: draw nodes=1699840 censored=True wall=9.273
p2_a2a3_e7e6: draw nodes=1683456 censored=True wall=9.241
p2_a2a3_e7e5: draw nodes=1667072 censored=True wall=9.228
p2_a2a3_f7f6: draw nodes=1753088 censored=True wall=9.3
p2_a2a3_f7f5: draw nodes=1732608 censored=True wall=9.322
p2_a2a3_g7g6: draw nodes=1777664 censored=True wall=9.305
p2_a2a3_g7g5: draw nodes=1789952 censored=True wall=9.32
p2_a2a3_h7h6: draw nodes=1753088 censored=True wall=9.309
p2_a2a3_h7h5: draw nodes=1748992 censored=True wall=9.315
p2_a2a3_b8a6: draw nodes=1703936 censored=True wall=9.288
p2_a2a3_b8c6: draw nodes=1703936 censored=True wall=9.261
p2_a2a3_g8f6: draw nodes=1748992 censored=True wall=9.306
p2_a2a3_g8h6: draw nodes=1753088 censored=True wall=9.315
[ply2 after a2a3: 20 replies; 21 runs, 195s]
p1_a2a4: draw nodes=1654784 censored=True wall=9.245
p2_a2a4_a7a6: draw nodes=1712128 censored=True wall=9.275
p2_a2a4_a7a5: draw nodes=1667072 censored=True wall=9.226
p2_a2a4_b7b6: draw nodes=1699840 censored=True wall=9.269
p2_a2a4_b7b5: draw nodes=1675264 censored=True wall=9.265
p2_a2a4_c7c6: draw nodes=1736704 censored=True wall=9.278
p2_a2a4_c7c5: draw nodes=1708032 censored=True wall=9.262
p2_a2a4_d7d6: draw nodes=1654784 censored=True wall=9.248
p2_a2a4_d7d5: draw nodes=1568768 censored=True wall=9.206
p2_a2a4_e7e6: draw nodes=1658880 censored=True wall=9.189
p2_a2a4_e7e5: draw nodes=1617920 censored=True wall=9.199
p2_a2a4_f7f6: draw nodes=1658880 censored=True wall=9.234
p2_a2a4_f7f5: draw nodes=1728512 censored=True wall=9.268
p2_a2a4_g7g6: draw nodes=1740800 censored=True wall=9.269
p2_a2a4_g7g5: draw nodes=1695744 censored=True wall=9.29
p2_a2a4_h7h6: draw nodes=1736704 censored=True wall=9.304
p2_a2a4_h7h5: draw nodes=1716224 censored=True wall=9.299
p2_a2a4_b8a6: draw nodes=1638400 censored=True wall=9.22
p2_a2a4_b8c6: draw nodes=1552384 censored=True wall=9.184
p2_a2a4_g8f6: draw nodes=1687552 censored=True wall=9.253
p2_a2a4_g8h6: draw nodes=1699840 censored=True wall=9.294
[ply2 after a2a4: 20 replies; 42 runs, 390s]
p1_b2b3: draw nodes=1662976 censored=True wall=9.247
p2_b2b3_a7a6: draw nodes=1691648 censored=True wall=9.235
p2_b2b3_a7a5: draw nodes=1630208 censored=True wall=9.223
p2_b2b3_b7b6: draw nodes=1601536 censored=True wall=9.214
p2_b2b3_b7b5: draw nodes=1720320 censored=True wall=9.289
p2_b2b3_c7c6: draw nodes=1757184 censored=True wall=9.3
p2_b2b3_c7c5: draw nodes=1675264 censored=True wall=9.265
p2_b2b3_d7d6: draw nodes=1552384 censored=True wall=9.153
p2_b2b3_d7d5: draw nodes=1568768 censored=True wall=9.172
p2_b2b3_e7e6: draw nodes=1654784 censored=True wall=9.223
p2_b2b3_e7e5: draw nodes=1658880 censored=True wall=9.199
p2_b2b3_f7f6: draw nodes=1712128 censored=True wall=9.289
p2_b2b3_f7f5: draw nodes=1683456 censored=True wall=9.305
p2_b2b3_g7g6: draw nodes=1728512 censored=True wall=9.292
p2_b2b3_g7g5: draw nodes=1691648 censored=True wall=9.26
